equipment_port,equipment_id,process_time,allocate_rule,equipment_status
c6_44,c6,55.0,,1
c6_45,c6,55.0,,1
c6_46,c6,55.0,,1
c6_47,c6,55.0,,1
c6_48,c6,55.0,,1
c6_49,c6,55.0,,1
c6_50,c6,55.0,,1
c6_51,c6,55.0,,1
c6_52,c6,55.0,,1
c6_53,c6,55.0,,1
c6_54,c6,55.0,,1
c6_55,c6,55.0,,1
c6_56,c6,55.0,,1
c6_57,c6,55.0,,1
c6_58,c6,55.0,,1
c6_59,c6,55.0,,1
c6_60,c6,55.0,,1
c6_61,c6,55.0,,1
c6_62,c6,55.0,,1
c6_63,c6,55.0,,1
c6_64,c6,55.0,,1
c6_65,c6,55.0,,1
c6_66,c6,55.0,,1
c6_67,c6,55.0,,1
c6_68,c6,55.0,,1
c6_69,c6,55.0,,1
c6_70,c6,55.0,,1
c6_71,c6,55.0,,1
c6_72,c6,55.0,,1
c6_73,c6,55.0,,1
c6_74,c6,55.0,,1
c6_75,c6,55.0,,1
c6_76,c6,55.0,,1
c6_77,c6,55.0,,1
c6_78,c6,55.0,,1
c6_79,c6,55.0,,1
c6_80,c6,55.0,,1
c6_81,c6,55.0,,1
c6_82,c6,55.0,,1
c6_83,c6,55.0,,1
c6_84,c6,55.0,,1
c6_85,c6,55.0,,1
c6_86,c6,55.0,,1
c6_87,c6,55.0,,1
c6_88,c6,55.0,,1
c6_89,c6,55.0,,1
c6_90,c6,55.0,,1
c6_91,c6,55.0,,1
c6_92,c6,55.0,,1
c6_93,c6,55.0,,1
c6_94,c6,55.0,,1
c6_95,c6,55.0,,1
c6_96,c6,55.0,,1
c6_97,c6,55.0,,1
c6_98,c6,55.0,,1
c6_99,c6,55.0,,1
c6_100,c6,55.0,,1
c6_101,c6,55.0,,1
c6_102,c6,55.0,,1
c6_103,c6,55.0,,1
c6_104,c6,55.0,,1
c7_1,c7,55.0,,1
c7_2,c7,55.0,,1
c7_3,c7,55.0,,1
c7_4,c7,55.0,,1
c7_5,c7,55.0,,1
c7_6,c7,55.0,,1
c7_7,c7,55.0,,1
c7_8,c7,55.0,,1
c7_9,c7,55.0,,1
c7_10,c7,55.0,,1
c7_11,c7,55.0,,1
c7_12,c7,55.0,,1
c7_13,c7,55.0,,1
c7_14,c7,55.0,,1
c7_15,c7,55.0,,1
c7_16,c7,55.0,,1
c7_17,c7,55.0,,1
c7_18,c7,55.0,,1
c7_19,c7,55.0,,1
c7_20,c7,55.0,,1
c7_21,c7,55.0,,1
c7_22,c7,55.0,,1
c7_23,c7,55.0,,1
c7_24,c7,55.0,,1
c7_25,c7,55.0,,1
c7_26,c7,55.0,,1
c7_27,c7,55.0,,1
c7_28,c7,55.0,,1
c7_29,c7,55.0,,1
c7_30,c7,55.0,,1
c7_31,c7,55.0,,1
c7_32,c7,55.0,,1
c7_33,c7,55.0,,1
