equipment_port,equipment_id,dest_code,dest_type,Unnamed: 4,Unnamed: 5
c9_46,c9,574EN,L,,
c9_47,c9,574K,L,,
c9_48,c9,574Q,L,,
c9_49,c9,574FA,L,,
c9_50,c9,574EX,L,,
c9_51,c9,574DN,L,,
c9_52,c9,574EY,L,,
c9_53,c9,574MM,L,,
c9_54,c9,574J,L,,
c9_55,c9,574TD,L,,
c9_56,c9,574EA,L,,
c9_57,c9,574BE,L,,
c9_58,c9,574MA,L,,
c9_59,c9,574LA,L,,
c9_60,c9,574F,L,,
c9_61,c9,574FB,L,,
c9_62,c9,574TC,L,,
c9_63,c9,574LC,L,,
c9_64,c9,574AB,L,,
c9_65,c9,574DM,L,,
c9_66,c9,574W,L,,
c9_67,c9,574WA,L,,
c9_68,c9,574LE,L,,
c9_69,c9,574JI,L,,
c9_70,c9,574L,L,,
c9_71,c9,574JA,L,,
c9_72,c9,574G,L,,
c9_73,c9,574W,L,,
c9_74,c9,574WA,L,,
c9_75,c9,574EB,L,,
c9_76,c9,574C,L,,
c9_77,c9,574LB,L,,
c9_78,c9,574PA,L,,
c9_79,c9,574KB,L,,
c9_80,c9,574CA,L,,
c9_81,c9,574DB,L,,
c9_82,c9,574EC,L,,
c9_83,c9,574P,L,,
c9_84,c9,574BA,L,,
c9_85,c9,574SA,L,,
c9_86,c9,574LG,L,,
c9_87,c9,574H,L,,
c9_88,c9,574PC,L,,
c9_89,c9,574LQ,L,,
c9_90,c9,574D,L,,
c9_91,c9,574DA,L,,
c9_92,c9,574HC,L,,
c9_93,c9,574CC,L,,
c9_94,c9,574DJ,L,,
c9_95,c9,574U,L,,
c9_96,c9,574KA,L,,
c9_97,c9,574W,L,,
c9_98,c9,574WA,L,,
c9_99,c9,T801,L,,
c9_100,c9,COS,L,,
c9_101,c9,RMS,L,,
c9_102,c9,,,,
c9_103,c9,,,,
c9_104,c9,,,,
c10_1,c10,571WXA,L,,
c10_2,c10,571KL010-K,L,,
c10_3,c10,571KL012-K,L,,
c10_4,c10,571CC,L,,
c10_5,c10,571TM,L,,
c10_6,c10,571HC,L,,
c10_7,c10,571TD,L,,
c10_8,c10,571KC,L,,
c10_9,c10,571TN,L,,
c10_10,c10,571MB,L,,
c10_11,c10,571MD,L,,
c10_12,c10,571AD001-A,L,,
c10_13,c10,571AF,L,,
c10_14,c10,571AD003-A,L,,
c10_15,c10,571AD048-A,L,,
c10_16,c10,571BM,L,,
c10_17,c10,571NB,L,,
c10_18,c10,571QB,L,,
c10_19,c10,571HB,L,,
c10_20,c10,571KT,L,,
c10_21,c10,571KF,L,,
c10_22,c10,571D,L,,
c10_23,c10,571PB,L,,
c10_24,c10,571AJ,L,,
c10_25,c10,571AD012-A,L,,
c10_26,c10,571AD013-A,L,,
c10_27,c10,571AD014-A,L,,
c10_28,c10,571KJ,L,,
c10_29,c10,571TE,L,,
c10_30,c10,571TK,L,,
c10_31,c10,571AM,L,,
c10_32,c10,571KA,L,,
c10_33,c10,571FH,L,,
c10_34,c10,571KL,L,,
c10_35,c10,571QA014,L,,
c10_36,c10,571QA015,L,,
c10_37,c10,571L,L,,
c10_38,c10,571QA,L,,
c10_39,c10,571QA001,L,,
c10_40,c10,571QA002,L,,
c10_41,c10,571HN,L,,
c10_42,c10,571J,L,,
c10_43,c10,571FF,L,,
c10_44,c10,571JB,L,,
c10_45,c10,571SE,L,,
c10_46,c10,571SP,L,,
c10_47,c10,571QA008,L,,
c10_48,c10,571QA009,L,,
c10_49,c10,571QA010,L,,
c10_50,c10,571QA011,L,,
c10_51,c10,571QA012,L,,
c10_52,c10,571LD,L,,
c10_53,c10,571AA001-C,L,,
c10_54,c10,571HP,L,,
c10_55,c10,571PBRJ,L,,
c10_56,c10,571LH,L,,
c10_57,c10,571SB,L,,
c10_58,c10,571GC,L,,
c10_59,c10,571EA,L,,
c10_60,c10,571AD,L,,
c10_61,c10,571PBWY,L,,
c10_62,c10,571PBHC,L,,
c10_63,c10,571PBQJ,L,,
c10_64,c10,571PBCF,L,,
c10_65,c10,571FQ,L,,
c10_66,c10,571DJ,L,,
c10_67,c10,571K,L,,
c10_68,c10,571NF,L,,
c10_69,c10,571NG,L,,
c10_70,c10,571TB,L,,
c10_71,c10,571KL001-K,L,,
c10_72,c10,571KL006-K,L,,
c10_73,c10,571KL007-K,L,,
c10_74,c10,571KL008-K,L,,
c10_75,c10,571FB,L,,
c10_76,c10,571CK,L,,
c10_77,c10,571CL,L,,
c10_78,c10,571FT,L,,
c10_79,c10,571FL,L,,
c10_80,c10,571NH,L,,
c10_81,c10,571HG,L,,
c10_82,c10,571HJ,L,,
c10_83,c10,571HK,L,,
c10_84,c10,571KS,L,,
c10_85,c10,571QC,L,,
c10_86,c10,571QP,L,,
c10_87,c10,571SQ,L,,
c10_88,c10,571ST,L,,
c10_89,c10,571FK,L,,
c10_90,c10,571SA,L,,
c10_91,c10,571QA003,L,,
c10_92,c10,571QA004,L,,
c10_93,c10,571QA005,L,,
c10_94,c10,571QA006,L,,
c10_95,c10,571PH,L,,
c10_96,c10,571SC,L,,
c10_97,c10,571MQ,L,,
c10_98,c10,571PG,L,,
c10_99,c10,571MC,L,,
c10_100,c10,571M,L,,
c10_101,c10,571QA013,L,,
c10_102,c10,571P,L,,
c10_103,c10,571FG,L,,
c10_104,c10,571TL,L,,
c11_1,c11,575GD,L,,
c11_2,c11,575BK,L,,
c11_3,c11,575EG,L,,
c11_4,c11,575BF,L,,
c11_5,c11,575BC,L,,
c11_6,c11,575,L,,
c11_7,c11,575KB,L,,
c11_8,c11,575DK,L,,
c11_9,c11,575DE,L,,
c11_10,c11,575JE,L,,
c11_11,c11,575GJ,L,,
c11_12,c11,575EJ,L,,
c11_13,c11,575GK,L,,
c11_14,c11,575KC,L,,
c11_15,c11,575HA,L,,
c11_16,c11,575Q,L,,
c11_17,c11,575M,L,,
c11_18,c11,575JC,L,,
c11_19,c11,575MA,L,,
c11_20,c11,575G,L,,
c11_21,c11,575EC,L,,
c11_22,c11,575JD,L,,
c11_23,c11,575B,L,,
c11_24,c11,575A,L,,
c11_25,c11,575FA,L,,
c11_26,c11,575GA,L,,
c11_27,c11,575S,L,,
c11_28,c11,575C,L,,
c11_29,c11,575EF,L,,
c11_30,c11,575CF,L,,
c11_31,c11,575J,L,,
c11_32,c11,575F,L,,
c11_33,c11,575EB,L,,
c11_34,c11,575ED,L,,
c11_35,c11,575EH,L,,
c11_36,c11,575E,L,,
c11_37,c11,575GM,L,,
c11_38,c11,575BD,L,,
c11_39,c11,575K,L,,
c11_40,c11,575CE,L,,
c11_41,c11,575D,L,,
c11_42,c11,575DA,L,,
c11_43,c11,575H,L,,
c11_44,c11,575SA,L,,
c11_45,c11,575DC,L,,
c11_46,c11,575EA,L,,
c11_47,c11,575JA,L,,
c11_48,c11,575KA,L,,
c11_49,c11,575CD,L,,
c11_50,c11,575GH,L,,
c11_51,c11,575JH,L,,
c11_52,c11,575EK,L,,
c11_53,c11,574W,L,,
c11_54,c11,574WA,L,,
c11_55,c11,574LF,L,,
c11_56,c11,574DE,L,,
c11_57,c11,574LP,L,,
c11_58,c11,574LH,L,,
c11_59,c11,574LK,L,,
c11_60,c11,574EM,L,,
c11_61,c11,574AA,L,,
c11_62,c11,574T,L,,
c11_63,c11,574JC,L,,
c11_64,c11,574PD,L,,
c11_65,c11,574SS,L,,
c11_66,c11,574TF,L,,
c11_67,c11,574KD,L,,
c11_68,c11,577GE,L,,
c11_69,c11,577AA,L,,
c11_70,c11,577DH,L,,
c11_71,c11,577HA,L,,
c11_72,c11,577F,L,,
c11_73,c11,577CF,L,,
