pipeline_id,package_id,time_stamp,action
"('r1_2', 'm1_1')",394536,27472.8,start
"('r1_2', 'm1_1')",394536,27514.17,end
"('r1_2', 'm1_1')",384772,36208.8,start
"('r1_2', 'm1_1')",384772,36250.170000000006,end
"('r1_2', 'm1_1')",384773,36208.8,start
"('r1_2', 'm1_1')",384773,36250.170000000006,end
"('r1_3', 'm1_3')",386452,4.8,start
"('r1_3', 'm1_3')",386452,46.169999999999995,end
"('r1_3', 'm1_3')",386453,4.8,start
"('r1_3', 'm1_3')",386453,46.169999999999995,end
"('r1_3', 'm1_3')",386454,9.6,start
"('r1_3', 'm1_3')",386454,50.97,end
"('r1_3', 'm1_3')",386455,9.6,start
"('r1_3', 'm1_3')",386455,50.97,end
"('r1_3', 'm1_3')",386704,1958.8000000000002,start
"('r1_3', 'm1_3')",386704,2000.17,end
"('r1_3', 'm1_3')",1732,2913.8,start
"('r1_3', 'm1_3')",1732,2955.17,end
"('r1_3', 'm1_3')",393306,2913.8,start
"('r1_3', 'm1_3')",393306,2955.17,end
"('r1_3', 'm1_3')",396282,2918.6000000000004,start
"('r1_3', 'm1_3')",396282,2959.9700000000003,end
"('r1_3', 'm1_3')",386185,19050.8,start
"('r1_3', 'm1_3')",386185,19092.17,end
"('r1_3', 'm1_3')",386579,27063.8,start
"('r1_3', 'm1_3')",386579,27105.17,end
"('r1_4', 'm1_3')",393827,4.8,start
"('r1_4', 'm1_3')",393827,46.169999999999995,end
"('r1_4', 'm1_3')",394376,4.8,start
"('r1_4', 'm1_3')",394376,46.169999999999995,end
"('r1_4', 'm1_3')",394385,9.6,start
"('r1_4', 'm1_3')",394385,50.97,end
"('r1_4', 'm1_3')",1065,2049.8,start
"('r1_4', 'm1_3')",1065,2091.17,end
"('r1_4', 'm1_3')",387961,2049.8,start
"('r1_4', 'm1_3')",387961,2091.17,end
"('r1_4', 'm1_3')",387759,5544.8,start
"('r1_4', 'm1_3')",387759,5586.17,end
"('r1_4', 'm1_3')",388510,5544.8,start
"('r1_4', 'm1_3')",388510,5586.17,end
"('r1_4', 'm1_3')",393252,9286.8,start
"('r1_4', 'm1_3')",393252,9328.17,end
"('r1_4', 'm1_3')",134,14883.800000000001,start
"('r1_4', 'm1_3')",134,14925.170000000002,end
"('r1_4', 'm1_3')",136,14883.800000000001,start
"('r1_4', 'm1_3')",136,14925.170000000002,end
"('r1_4', 'm1_3')",1408,14888.6,start
"('r1_4', 'm1_3')",1408,14929.970000000001,end
"('r1_4', 'm1_3')",142,14888.6,start
"('r1_4', 'm1_3')",142,14929.970000000001,end
"('r1_4', 'm1_3')",144,14893.4,start
"('r1_4', 'm1_3')",144,14934.77,end
"('r1_4', 'm1_3')",145,14893.4,start
"('r1_4', 'm1_3')",145,14934.77,end
"('r1_4', 'm1_3')",147,14898.199999999999,start
"('r1_4', 'm1_3')",147,14939.57,end
"('r1_4', 'm1_3')",148,14898.199999999999,start
"('r1_4', 'm1_3')",148,14939.57,end
"('r1_4', 'm1_3')",235522,14902.999999999998,start
"('r1_4', 'm1_3')",235522,14944.369999999999,end
"('r1_4', 'm1_3')",1366,19134.8,start
"('r1_4', 'm1_3')",1366,19176.17,end
"('r1_4', 'm1_3')",1367,19134.8,start
"('r1_4', 'm1_3')",1367,19176.17,end
"('r1_4', 'm1_3')",1368,19139.6,start
"('r1_4', 'm1_3')",1368,19180.969999999998,end
"('r1_4', 'm1_3')",1369,19139.6,start
"('r1_4', 'm1_3')",1369,19180.969999999998,end
"('r1_4', 'm1_3')",386012,19144.399999999998,start
"('r1_4', 'm1_3')",386012,19185.769999999997,end
"('r1_4', 'm1_3')",386013,19144.399999999998,start
"('r1_4', 'm1_3')",386013,19185.769999999997,end
"('r1_4', 'm1_3')",140,25210.8,start
"('r1_4', 'm1_3')",140,25252.17,end
"('r1_4', 'm1_3')",165236,25210.8,start
"('r1_4', 'm1_3')",165236,25252.17,end
"('r1_4', 'm1_3')",387976,27065.8,start
"('r1_4', 'm1_3')",387976,27107.17,end
"('r1_4', 'm1_3')",237455,32630.800000000003,start
"('r1_4', 'm1_3')",237455,32672.170000000002,end
"('r1_4', 'm1_3')",250957,32630.800000000003,start
"('r1_4', 'm1_3')",250957,32672.170000000002,end
"('r1_4', 'm1_3')",250958,32635.600000000002,start
"('r1_4', 'm1_3')",250958,32676.97,end
"('r1_4', 'm1_3')",250962,32635.600000000002,start
