equipment_id,truck_id,truck_type,time_stamp,action,store_size,real_time_stamp,run_time
r5_1,339511040020,LA,8995.13,end,1,2017-07-25 23:29:55.130,2017-08-29 10:01:50.972091
truck,339166422515,LA,9247.0,wait,3,2017-07-25 23:34:07.000,2017-08-29 10:01:50.972091
r3_1,339166422515,LA,9247.0,start,3,2017-07-25 23:34:07.000,2017-08-29 10:01:50.972091
r3_1,339166422515,LA,9253.259999999998,end,3,2017-07-25 23:34:13.260,2017-08-29 10:01:50.972091
truck,338554232607,LA,9661.0,wait,1,2017-07-25 23:41:01.000,2017-08-29 10:01:50.972091
r4_1,338554232607,LA,9661.0,start,1,2017-07-25 23:41:01.000,2017-08-29 10:01:50.972091
r4_1,338554232607,LA,9664.13,end,1,2017-07-25 23:41:04.130,2017-08-29 10:01:50.972091
truck,339556718581,LA,9803.0,wait,27,2017-07-25 23:43:23.000,2017-08-29 10:01:50.972091
r5_1,339556718581,LA,9803.0,start,27,2017-07-25 23:43:23.000,2017-08-29 10:01:50.972091
r5_1,339556718581,LA,9846.819999999989,end,27,2017-07-25 23:44:06.820,2017-08-29 10:01:50.972091
truck,338749675693,LA,9866.0,wait,8,2017-07-25 23:44:26.000,2017-08-29 10:01:50.972091
r3_1,338749675693,LA,9866.0,start,8,2017-07-25 23:44:26.000,2017-08-29 10:01:50.972091
r3_1,338749675693,LA,9878.519999999997,end,8,2017-07-25 23:44:38.520,2017-08-29 10:01:50.972091
truck,339396394180,LA,9901.0,wait,15,2017-07-25 23:45:01.000,2017-08-29 10:01:50.972091
r4_1,339396394180,LA,9901.0,start,15,2017-07-25 23:45:01.000,2017-08-29 10:01:50.972091
r4_1,339396394180,LA,9926.039999999994,end,15,2017-07-25 23:45:26.040,2017-08-29 10:01:50.972091
truck,339731028279,LA,9952.0,wait,5,2017-07-25 23:45:52.000,2017-08-29 10:01:50.972091
r5_1,339731028279,LA,9952.0,start,5,2017-07-25 23:45:52.000,2017-08-29 10:01:50.972091
r5_1,339731028279,LA,9961.389999999998,end,5,2017-07-25 23:46:01.390,2017-08-29 10:01:50.972091
truck,338022877293,LA,10020.0,wait,4,2017-07-25 23:47:00.000,2017-08-29 10:01:50.972091
r3_1,338022877293,LA,10020.0,start,4,2017-07-25 23:47:00.000,2017-08-29 10:01:50.972091
r3_1,338022877293,LA,10026.259999999998,end,4,2017-07-25 23:47:06.260,2017-08-29 10:01:50.972091
truck,338918782393,LL,10175.0,wait,1,2017-07-25 23:49:35.000,2017-08-29 10:01:50.972091
r1_1,338918782393,LL,10175.0,start,1,2017-07-25 23:49:35.000,2017-08-29 10:01:50.972091
r1_1,338918782393,LL,10178.68,end,1,2017-07-25 23:49:38.680,2017-08-29 10:01:50.972091
truck,328271,AL,10210.0,wait,1,2017-07-25 23:50:10.000,2017-08-29 10:01:50.972091
a2_11,328271,AL,10210.0,start,1,2017-07-25 23:50:10.000,2017-08-29 10:01:50.972091
a2_11,328271,AL,10210.0,end,1,2017-07-25 23:50:10.000,2017-08-29 10:01:50.972091
truck,336282127883,LA,10305.0,wait,1,2017-07-25 23:51:45.000,2017-08-29 10:01:50.972091
r4_1,336282127883,LA,10305.0,start,1,2017-07-25 23:51:45.000,2017-08-29 10:01:50.972091
r4_1,336282127883,LA,10308.13,end,1,2017-07-25 23:51:48.130,2017-08-29 10:01:50.972091
truck,338196622973,LL,10340.0,wait,3,2017-07-25 23:52:20.000,2017-08-29 10:01:50.972091
r5_1,338196622973,LL,10340.0,start,3,2017-07-25 23:52:20.000,2017-08-29 10:01:50.972091
r5_1,338196622973,LL,10346.259999999998,end,3,2017-07-25 23:52:26.260,2017-08-29 10:01:50.972091
