parcel_id,small_id,parcel_type,start_node,ident_des_zno,sorter_type,dest_type,ret_path,run_time
980000000216,708667,small,c5_22,851,small_sort,A,c5_22:j41_1:i24_1:i23_2:c16_18,2017-08-29 10:01:50.972091
980000000216,708667,small,j41_1,851,small_sort,A,j41_1:i17_4:c18_20,2017-08-29 10:01:50.972091
980000000192,662002,small,c5_14,871,small_sort,A,c5_14:j41_1:i17_4:c18_23,2017-08-29 10:01:50.972091
980000000192,662002,small,j41_1,871,small_sort,A,j41_1:i17_4:c18_21,2017-08-29 10:01:50.972091
980000000005,720430,small,c5_14,871,small_sort,A,c5_14:j41_1:i24_1:i23_2:c18_21,2017-08-29 10:01:50.972091
980000000005,720430,small,j41_1,871,small_sort,A,j41_1:i17_4:c18_23,2017-08-29 10:01:50.972091
980000000234,667505,small,c6_25,053,small_sort,A,c6_25:j41_1:i17_4:c16_20,2017-08-29 10:01:50.972091
980000000234,667505,small,j41_1,053,small_sort,A,j41_1:i17_4:c18_24,2017-08-29 10:01:50.972091
980000000019,720468,small,c6_16,873,small_sort,A,c6_16:j41_1:i24_1:i23_2:c18_25,2017-08-29 10:01:50.972091
980000000019,720468,small,j41_1,873,small_sort,A,j41_1:i17_4:c18_27,2017-08-29 10:01:50.972091
328228,328228,parcel,a2_9,913,reload,A,a2_9:m4_5:i17_4:c18_8,2017-08-29 10:01:50.972091
100053,100053,parcel,r4_1,411,reload,A,r4_1:m2_2:j8_1:i19_3:e4_1:h3_1:x14_1:i23_1:c17_6,2017-08-29 10:01:50.972091
100053,100053,parcel,j4_1,411,reload,A,j4_1:i19_4:i18_1:c16_1,2017-08-29 10:01:50.972091
100177,100177,parcel,r5_1,411,reload,A,r5_1:m3_1:j11_1:i22_2:c16_1,2017-08-29 10:01:50.972091
100177,100177,parcel,j17_1,411,reload,A,j17_1:i22_3:e6_1:h3_1:x11_1:i18_1:c16_1,2017-08-29 10:01:50.972091
100148,100148,parcel,r4_1,411,reload,A,r4_1:m2_2:j3_1:i22_1:c17_10,2017-08-29 10:01:50.972091
100148,100148,parcel,j6_1,411,reload,A,j6_1:i19_4:i18_1:c16_1,2017-08-29 10:01:50.972091
100391,100391,parcel,r3_1,951,reload,A,r3_1:m2_1:j20_1:i24_4:e5_1:h3_1:x14_1:i23_1:c16_12,2017-08-29 10:01:50.972091
100391,100391,parcel,j18_1,951,reload,A,j18_1:i19_2:i18_1:c16_12,2017-08-29 10:01:50.972091
101381,101381,parcel,r4_1,951,reload,A,r4_1:m2_2:j3_1:i22_1:c16_12,2017-08-29 10:01:50.972091
101381,101381,parcel,j2_1,951,reload,A,j2_1:i19_4:i18_1:c16_12,2017-08-29 10:01:50.972091
100551,100551,parcel,r3_1,029,reload,A,r3_1:m2_1:j20_1:i24_4:i23_1:c18_12,2017-08-29 10:01:50.972091
100551,100551,parcel,j18_1,029,reload,A,j18_1:i19_2:i18_1:c16_16,2017-08-29 10:01:50.972091
101004,101004,parcel,r3_1,029,reload,A,r3_1:m2_1:j10_1:i19_3:i18_1:c18_14,2017-08-29 10:01:50.972091
101004,101004,parcel,j18_1,029,reload,A,j18_1:i19_2:i18_1:c16_16,2017-08-29 10:01:50.972091
100920,100920,parcel,r3_1,411,reload,A,r3_1:m2_1:j16_1:i19_2:i18_1:c17_8,2017-08-29 10:01:50.972091
100920,100920,parcel,j16_1,411,reload,A,j16_1:i19_2:e4_1:h3_1:x11_1:i18_1:c17_10,2017-08-29 10:01:50.972091
100237,100237,parcel,r5_1,411,reload,A,r5_1:m3_1:j9_1:i22_2:c17_8,2017-08-29 10:01:50.972091
100237,100237,parcel,j11_1,411,reload,A,j11_1:i22_2:e6_1:h3_1:x11_1:i18_1:c17_10,2017-08-29 10:01:50.972091
100626,100626,parcel,r4_1,411,reload,A,r4_1:m2_2:j3_1:i22_1:c17_6,2017-08-29 10:01:50.972091
100626,100626,parcel,j6_1,411,reload,A,j6_1:i19_4:i18_1:c17_10,2017-08-29 10:01:50.972091
10110,10110,parcel,r4_1,022,reload,A,r4_1:m2_2:j2_1:i19_4:i18_1:c17_9,2017-08-29 10:01:50.972091
10110,10110,parcel,j4_1,022,reload,A,j4_1:i19_4:i18_1:c17_11,2017-08-29 10:01:50.972091
100188,100188,parcel,r4_1,411,reload,A,r4_1:m2_2:j3_1:i22_1:c17_12,2017-08-29 10:01:50.972091
100188,100188,parcel,j2_1,411,reload,A,j2_1:i19_4:i18_1:c17_12,2017-08-29 10:01:50.972091
101042,101042,parcel,r4_1,411,reload,A,r4_1:m2_2:j8_1:i19_3:i18_2:c17_10,2017-08-29 10:01:50.972091
