equipment_id,package_id,time_stamp,action
r3_1,392719,4188.0,wait
r3_1,392719,4255.200000000003,start
r3_1,392719,4260.000000000003,end
m2_1,392719,4317.910000000003,wait
m2_1,392719,4320.62,start
m2_1,392719,4323.62,end
i7_2,392719,4381.53,wait
m2_1,392719,4383.62,start
m2_1,392719,4386.62,end
i6_2,392719,4619.47,wait
c4_2,392719,4827.070000000001,wait
i6_2,392719,4827.070000000001,wait
i6_2,392719,4827.070000000001,start
i6_2,392719,4853.910000000001,end
4,392719,4853.910000000001,wait
r4_8,386533,5027.0,wait
r4_8,386533,5036.6,start
r4_8,386533,5041.400000000001,end
m2_8,386533,5099.31,wait
m2_8,386533,5099.31,start
m2_8,386533,5102.31,end
i7_2,386533,5160.22,wait
m2_8,386533,5160.22,start
m2_8,386533,5163.22,end
i6_2,386533,5396.070000000001,wait
c4_2,386533,5603.670000000001,wait
i6_2,386533,5603.670000000001,wait
i6_2,386533,5603.670000000001,start
i6_2,386533,5630.510000000001,end
4,386533,5630.510000000001,wait
r4_3,390372,5113.0,wait
r4_3,390372,5146.600000000001,start
r4_3,390372,5151.4000000000015,end
m2_4,390372,5209.310000000001,wait
m2_4,390372,5209.310000000001,start
m2_4,390372,5212.310000000001,end
i7_2,390372,5270.220000000001,wait
m2_4,390372,5278.62,start
m2_4,390372,5281.62,end
i6_1,390372,5514.47,wait
c4_2,390372,5722.070000000001,wait
i6_1,390372,5722.070000000001,wait
i6_1,390372,5722.070000000001,start
i6_1,390372,5748.910000000001,end
4,390372,5748.910000000001,wait
r4_3,390521,5113.0,wait
r4_3,390521,5233.000000000005,start
r4_3,390521,5237.800000000005,end
m2_4,390521,5295.710000000005,wait
m2_4,390521,5311.62,start
m2_4,390521,5314.62,end
i7_2,390521,5372.53,wait
m2_4,390521,5398.62,start
m2_4,390521,5401.62,end
i6_1,390521,5634.47,wait
c4_2,390521,5842.070000000001,wait
i6_1,390521,5842.070000000001,wait
i6_1,390521,5842.070000000001,start
i6_1,390521,5868.910000000001,end
4,390521,5868.910000000001,wait
r4_3,390540,5113.0,wait
r4_3,390540,5257.0000000000055,start
r4_3,390540,5261.800000000006,end
